"","winner","Picks","age","state","gender","cleaned_race_eth","occupation","personality_type"
"1","0",18,36,"Rhode Island","Male","Black","Gym Owner","ESTJ"
"2","0",17,35,"California","Female","Other","Business Student","ESFP"
"3","1",229,25,"California","Male","White","Homeless Shelter Manager;Keynote Speaker and Host","ENTP"
"4","0",143,28,"California","Male","White","Homeless Shelter Manager;Keynote Speaker and Host","ENTP"
"5","0",112,32,"Texas","Male","Black","NFL Player","ISTP"
"6","0",12,24,"California","Male","White","Bartender","ESFP"
"7","0",17,24,"Texas","Female","White","Real Estate Agent","ESFP"
"8","0",180,24,"California","Female","Black","Celebrity Assistant","INFJ"
"9","0",354,28,"North Carolina","Female","White","Physician","ENFJ"
"10","0",20,40,"Florida","Female","White","Administrative Assistant;Director of Marketing and Communications","ISFP"
"11","0",322,27,"New York","Female","White","Student;Entertainment Host/Writer","ENFP"
"12","0",21,51,"California","Male","White","Attorney","ESTJ"
"13","0",26,42,"Ohio","Female","White","Army Veteran","ISTJ"
"14","0",177,28,"California","Female","Unspecified, Hispanic or Latino","Financial Consultant","ENTJ"
"15","0",278,26,"New York","Female","White","Pro Poker Player","ENFP"
"16","0",75,26,"Florida","Female","White","Lifeguard","ESFP"
"17","0",47,29,"Massachusetts","Female","White","Social Media Marketer;Marketing Director","INFJ"
"18","0",234,30,"Massachusetts","Female","White","Social Media Marketer;Marketing Director","INFJ"
"19","0",274,32,"California","Female","White","Social Media Marketer;Marketing Director","INFJ"
"20","0",140,32,"Florida","Female","White","Divorce Lawyer","ISTP"
"21","1",85,34,"Idaho","Male","White","Marine;Real Estate/Stay-at-home Dad","ESFP"
"22","0",38,36,"Idaho","Male","White","Marine;Real Estate/Stay-at-home Dad","ESFP"
"23","0",71,28,"Texas","Female","Asian","MMA Fighter","ISFP"
"24","0",71,47,"Florida","Male","White","Attorney/Retired NFL Player","ESTJ"
"25","0",28,50,"Wyoming","Male","White","Rancher","ESFP"
"26","0",82,26,"California","Male","White","Law Student","ENTJ"
"27","0",245,40,"Virginia","Male","White","Physical Education Teacher","ENFJ"
"28","0",72,42,"Massachusetts","Male","White","Police Sergeant","ESFJ"
"29","0",11,27,"Kentucky","Male","White","Army Veteran","ESFP"
"30","0",24,28,"Kentucky","Male","White","Army Veteran","ESFP"
"31","0",71,41,"Texas","Male","Black","Truck Driver","ISFJ"
"32","0",44,26,"Texas","Female","White","Designer","ESTP"
"33","0",208,28,"New York","Female","Black","Executive Recruiter","ENTJ"
"34","0",72,25,"California","Female","White","EMT/Pro Cheerleader","ISFP"
"35","0",271,27,"California","Female","White","Digital Content Creator","ENTP"
"36","0",128,38,"Oklahoma","Male","White","Trial Lawyer","ISTJ"
"37","0",9,27,"New York","Male","White","Male Model","ESTJ"
"38","1",123,25,"South Carolina","Male","Unspecified, Hispanic or Latino","District Sales Manager","ENTP"
"39","0",304,46,"New Jersey","Female","White","Actuary","ENTJ"
"40","0",38,32,"Florida","Male","White","Robotics Scientist","ENFP"
"41","0",51,39,"California","Female","Black","Insurance Adjuster","ISFJ"
"42","0",72,26,"Oregon","Female","White","Cosmetology Student","INFP"
"43","0",77,27,"Oregon","Female","White","Cosmetology Student","INFP"
"44","0",125,45,"Connecticut","Female","Black","Nurse","ENFJ"
"45","0",51,35,"Hawaii","Male","White","Elevator Sales","ESFP"
"46","0",141,24,"Arkansas","Male","White","Wilderness Therapy Guide","ISFP"
